吳寬河	0	0.0	0	
吳康	0	0.0	0	
吳洪真	1	1.0	1	如虹跟 (1)
吳資深	0	0.0	0	
周小川	0	0.0	0	
唐林	0	0.0	0	
嘉義	0	0.0	0	
嘉義信用合作社	0	0.0	0	
嘉義分行	0	0.0	0	
嘉義四信	0	0.0	0	
嘉義市	0	0.0	0	
嘉義市第四信用合作社	0	0.0	0	
嘉義第四信用合作社	0	0.0	0	
四育	0	0.0	0	
國家國銀	0	0.0	0	
國旅卡政府	0	0.0	0	
國會	0	0.0	0	
國民隊	0	0.0	0	
國泰	3	0.33	1	_ (1)
國泰世華	0	0.0	0	
國泰證券	0	0.0	0	
國發會	1	1.0	1	國光 (1)
國立大學	0	0.0	0	
國防部	0	0.0	0	
國際信評公司	0	0.0	0	
國際海事組織	0	0.0	0	
國際融資部	0	0.0	0	
土城	0	0.0	0	
土耳其	0	0.0	0	
基金	89	0.16	14	已經 (3), 資金 (2), 其實 (2), 筆 (1), 第一 (1), 為主 (1), 新 (1), 季節 (1), 啦基金 (1), 俱進 (1)
大中華	0	0.0	0	
大江	0	0.0	0	
大江國際購物	0	0.0	0	
大臺北市	0	0.0	0	
大陸	13	0.077	1	大方面 (1)
央行	45	0.022	1	那 (1)
奇偉	0	0.0	0	
奇美	0	0.0	0	
存保公司	0	0.0	0	
學華學處	0	0.0	0	
宇通	0	0.0	0	
宇通光電	0	0.0	0	
安南	0	0.0	0	
安支行	0	0.0	0	
安東尼	0	0.0	0	
安聯	0	0.0	0	
安聯人壽	0	0.0	0	
宏斌	0	0.0	0	
家凱	0	0.0	0	
家德	0	0.0	0	
家樂福	4	0.0	0	
家樂福卡	0	0.0	0	
家樂福聯名卡	0	0.0	0	
富比世	1	1.0	1	筆士 (1)
富比亞洲	0	0.0	0	
富比士	2	1.0	2	付筆士 (1), _ (1)
富邦	3	0.33	1	這邊 (1)
富邦投信	0	0.0	0	
寳芙	0	0.0	0	
寶成	0	0.0	0	
局管會銀行局	0	0.0	0	
川普	4	0.75	3	超過 (1), 它不 (1), 中國 (1)
巴拿馬	0	0.0	0	
巴西	0	0.0	0	
布里斯本	0	0.0	0	
布里斯本分行	0	0.0	0	
希臘	0	0.0	0	
希臘島	0	0.0	0	
帕德嫩	0	0.0	0	
康健人壽	0	0.0	0	
廖允	0	0.0	0	
廣州	1	0.0	0	
廣州分行	0	0.0	0	
廣東	0	0.0	0	
廣東省	0	0.0	0	
廣東雲南	0	0.0	0	
張振浩	0	0.0	0	
張智星	1	1.0	1	當之 (1)
張論語	0	0.0	0	
彰金	0	0.0	0	
彰銀	0	0.0	0	
微信	0	0.0	0	
德國	0	0.0	0	
恩榮	0	0.0	0	
恩龍	0	0.0	0	
悠遊卡	0	0.0	0	
悠遊卡公司	0	0.0	0	
愛因斯坦	0	0.0	0	
愛爾蘭	0	0.0	0	
應民	0	0.0	0	
成子行	0	0.0	0	
拜登	3	0.33	1	外根 (1)
捷安特	0	0.0	0	
捷運	0	0.0	0	
摩根	5	0.6	3	我 (1), morganstanley (1), morgan (1)
摩根基金平臺	0	0.0	0	
摩根資產管理公司	0	0.0	0	
支付寶	0	0.0	0	
支付通	0	0.0	0	
政府	41	0.098	4	正股市 (1), 更 (1), 是政府 (1), 我們 (1)
數金處	0	0.0	0	
新保基金	0	0.0	0	
新光	0	0.0	0	
新加坡	18	0.0	0	
新加坡分行	0	0.0	0	
新加坡深圳	0	0.0	0	
新北市	0	0.0	0	
新家坡	0	0.0	0	
新港	0	0.0	0	
新科	0	0.0	0	
新竹	0	0.0	0	
新竹市	0	0.0	0	
新竹桃園	0	0.0	0	
新竹苗栗	0	0.0	0	
日本	3	0.0	0	
日本中國大陸	0	0.0	0	
日本東京分行	0	0.0	0	
日本福岡分行	0	0.0	0	
日本韓國	0	0.0	0	
日謝謝特	0	0.0	0	
星展	0	0.0	0	
星展銀行	0	0.0	0	
時代百貨	0	0.0	0	
普建榮	0	0.0	0	
智捷	0	0.0	0	
智能金融處	0	0.0	0	
智金	1	0.0	0	
曼谷	6	0.0	0	
曾國烈	0	0.0	0	
李克強	0	0.0	0	
李才	0	0.0	0	
東京	0	0.0	0	
東京分行	0	0.0	0	
東北亞	1	0.0	0	
東協	3	0.33	1	目前 (1)
東南亞	1	0.0	0	
東嘉義分行	0	0.0	0	
東廣分行	0	0.0	0	
東管所	0	0.0	0	
東莞	0	0.0	0	
東莞分行	0	0.0	0	
東莞市	0	0.0	0	
東莞東莞	0	0.0	0	
東莞辦事處	0	0.0	0	
東菀	0	0.0	0	
東菀分行	0	0.0	0	
東館代表人辦事處	0	0.0	0	
松江分公司	0	0.0	0	
林口三峽	0	0.0	0	
林榮華	0	0.0	0	
柏林愛樂十二把大提琴室內樂團	0	0.0	0	
柬埔寨	0	0.0	0	
柬埔寨分行	0	0.0	0	
柬埔寨商業銀行	0	0.0	0	
柬埔寨聯合商業銀行	0	0.0	0	
柬埔寨聯合銀行	0	0.0	0	
柬埔柬埔寨	0	0.0	0	
柯志鴻	2	1.0	2	科技好 (1), 看之後 (1)
柯智宏	0	0.0	0	
柯治宏	1	1.0	1	科技很 (1)
桃園	0	0.0	0	
桃園中壢	0	0.0	0	
桃園地區	0	0.0	0	
桃園市	0	0.0	0	
桃竹	0	0.0	0	
桃竹苗	0	0.0	0	
業務處	0	0.0	0	
樂福	0	0.0	0	
標準普爾	0	0.0	0	
欄鼎	0	0.0	0	
歐元	0	0.0	0	
歐元區	1	0.0	0	
歐富寶	0	0.0	0	
歐巴馬	0	0.0	0	
歐德藍哈士	0	0.0	0	
歐洲	8	0.0	0	
歐洲央行	0	0.0	0	
歐盟	1	0.0	0	
歐美	8	0.12	1	專門 (1)
段行健	0	0.0	0	
比薩斜塔	0	0.0	0	
民主國小	0	0.0	0	
民意銀行	0	0.0	0	
永康	0	0.0	0	
永豐	1	0.0	0	
永豐華南	0	0.0	0	
永邦人壽	0	0.0	0	
江波龍	0	0.0	0	
沙士	0	0.0	0	
法人金融處	0	0.0	0	
法國	0	0.0	0	
法金	30	0.033	1	因 (1)
法金部	0	0.0	0	
泰國	1	1.0	1	太貴 (1)
洪英	0	0.0	0	
浙商銀行	0	0.0	0	
浩鼎生技	0	0.0	0	
海外佈局	0	0.0	0	
淘寶網	0	0.0	0	
深圳	1	0.0	0	
深圳分行	0	0.0	0	
深圳分行廣州分行東館分行	0	0.0	0	
深圳地區	0	0.0	0	
深圳子行	0	0.0	0	
淺海	0	0.0	0	
淺海子行	0	0.0	0	
清華	1	1.0	1	星華 (1)
溫和成長主計處	0	0.0	0	
溫州	0	0.0	0	
澳洲	2	0.0	0	
澳洲布里斯本	0	0.0	0	
澳洲雪梨分行	0	0.0	0	
澳盛	0	0.0	0	
烏克蘭	1	1.0	1	不然 (1)
烏日	0	0.0	0	
營監局	0	0.0	0	
營監會	0	0.0	0	
玉山	679	0.04	27	_ (6), 在 (2), 呃玉山 (2), 三 (2), 非常 (1), 第三 (1), 理專 (1), 玉山欸 (1), 玉 (1), 是玉山 (1), 將 (1), 大銀行 (1), 但 (1), 以前 (1), 他 (1), 一般 (1), 一張 (1), nim (1), charge玉山 (1)
玉山中國的子行	0	0.0	0	
玉山中金控	0	0.0	0	
玉山保經	0	0.0	0	
玉山保險代理人公司	0	0.0	0	
玉山信用卡	0	0.0	0	
玉山公館代表人辦事處	0	0.0	0	
玉山創投	0	0.0	0	
玉山創投他	0	0.0	0	
玉山票券	0	0.0	0	
玉山綜合證券	0	0.0	0	
玉山行動銀行	0	0.0	0	
玉山證券	0	0.0	0	
玉山證券分公司	0	0.0	0	
玉山金控	0	0.0	0	
玉山金控子公司	0	0.0	0	
玉山金控玉山銀行	0	0.0	0	
玉山金控董事會	0	0.0	0	
玉山金銀行	0	0.0	0	
玉山銀行	0	0.0	0	
玉山銀行金控	0	0.0	0	
玉林	0	0.0	0	
玉民	0	0.0	0	
玉琳	0	0.0	0	
玉輝	2	1.0	2	玉規 (1), 一位 (1)
玉麟	0	0.0	0	
王建民	0	0.0	0	
琪北	0	0.0	0	
瑞士	3	1.0	3	類似 (1), 月滯 (1), 但是 (1)
瑞士信貸	0	0.0	0	
瑞穎	0	0.0	0	
生偉	0	0.0	0	
監理會	0	0.0	0	
研訓院	0	0.0	0	
磯崎	1	1.0	1	積極 (1)
福岡分行	0	0.0	0	
福建	0	0.0	0	
立晶	0	0.0	0	
竹北	0	0.0	0	
竹南	0	0.0	0	
竹南信合社	0	0.0	0	
竹南信合社政府	0	0.0	0	
竹南信用合作社	0	0.0	0	
第一金	2	0.0	0	
米格	0	0.0	0	
納智捷	0	0.0	0	
紐約	0	0.0	0	
統一投顧	0	0.0	0	
統一投顧所	0	0.0	0	
統一阪急	0	0.0	0	
統一集團	0	0.0	0	
統領百貨	0	0.0	0	
經建會人事總處	0	0.0	0	
經濟部	2	0.5	1	經濟 (1)
網洲分行	0	0.0	0	
緬甸	0	0.0	0	
緬甸代表人辦事處	0	0.0	0	
緬甸央行	0	0.0	0	
緬甸柬埔寨	0	0.0	0	
美元	27	0.11	3	類別 (1), 美元這個 (1), 明年 (1)
美國	60	0.05	3	能夠 (1), 呃美國 (1), 個 (1)
美國大聯盟	0	0.0	0	
美林	3	0.67	2	美玲 (1), 年五 (1)
美歐	0	0.0	0	
美滿	5	0.2	1	呃美滿 (1)
美玲	0	0.0	0	
美股	2	1.0	2	股 (1), 每股 (1)
美邦	0	0.0	0	
美金	24	0.12	3	已經 (2), 房貸 (1)
義大利	0	0.0	0	
習近平	0	0.0	0	
聖州	0	0.0	0	
聯博	0	0.0	0	
聯合商業銀行	0	0.0	0	
聯合國	2	0.5	1	他有 (1)
聯合銀行	0	0.0	0	
聯名卡	3	0.33	1	預玉網聯名卡 (1)
聯準會	1	0.0	0	
聯貸	11	0.36	4	連帶 (1), 聯貸案 (1), 當然 (1), 個聯貸 (1)
育輝	2	1.0	2	經理 (1), 來 (1)
胡志明	2	1.0	2	無境 (1), 扶志明 (1)
胡志明市	2	1.0	2	服建模式 (1), 富資民宿 (1)
胡志明辦事處	0	0.0	0	
胡錦濤	0	0.0	0	
臺中	0	0.0	0	
臺中市	0	0.0	0	
臺北	0	0.0	0	
臺北市	0	0.0	0	
臺北市政府	0	0.0	0	
臺南	0	0.0	0	
臺南市	0	0.0	0	
臺商	6	0.83	5	台商 (3), 改商 (1), 呆商 (1)
臺塑	0	0.0	0	
臺大	0	0.0	0	
臺大資工系	0	0.0	0	
臺幣	9	0.89	8	台幣 (8)
